Numero,Domanda,A,B,C,Corretta
18,L’iniziativa legislativa popolare si esercita:,Con il diritto di petizione e referendum,Attraverso l’elettorato attivo,Non è prevista nella nostra Costituzione,A
19,Il Consiglio d’Europa tutela i diritti dell’uomo:,Solo in ambito commerciale,Attraverso l’ONU,Con la Convenzione europea per la salvaguardia dei diritti dell’uomo e delle libertà fondamentali stipulata nel 1950,A
20,La sovranità:,Appartiene al Parlamento,Appartiene al Governo,Appartiene al popolo che la esercita nei limiti e forme previsti dalla Costituzione,A
21,L’amministrazione trasparente consente ai cittadini:,Di conoscere e controllare l’operato della pubblica amministrazione,Di fare ricorso contro ogni provvedimento,Di accedere solo ai bilanci,A
22,L’accesso civico semplice può essere esercitato:,Solo dal diretto interessato,"Da chiunque, senza motivazione",Solo tramite avvocato,A
23,Il diritto di accesso documentale è riconosciuto:,"chiunque abbia un interesse diretto, concreto e attuale",A qualsiasi cittadino,Solo ai dipendenti pubblici,A
24,Il FOIA (Freedom of Information Act) è stato introdotto in Italia con:,La Costituzione,Il D.lgs. 97/2016,Il D.lgs. 33/2013,A
25,L’accesso civico generalizzato si distingue da quello semplice perché:,"Consente l’accesso a dati ulteriori, non obbligatoriamente pubblicati",È riservato ai giornalisti,Richiede l’autorizzazione del prefetto,A
26,L’accesso ai documenti amministrativi è regolato da:,Legge 241/1990,DPR 445/2000,Legge 104/1992,A
27,Il rifiuto all’accesso deve essere sempre:,Motivato,Confermato dal giudice,Orale,A
28,L’accesso agli atti può essere negato per:,"Esigenze di riservatezza, sicurezza e ordine pubblico",Motivi economici,Scarsa rilevanza,A
29,Il responsabile della trasparenza è:,Una figura prevista dalla legge anticorruzione,Il segretario comunale,Il presidente dell’organo di controllo,A
30,L’accesso documentale deve essere esercitato entro:,30 giorni dalla conoscenza dell’atto,10 giorni dall’emissione,60 giorni dal protocollo,A
31,L’obbligo di motivazione dell’atto amministrativo è previsto da:,Art. 3 della Legge 241/1990,Art. 1 della Costituzione,Codice civile,A
32,La motivazione dell’atto amministrativo deve indicare:,I presupposti di fatto e le ragioni giuridiche della decisione,Solo il nome del responsabile,La firma del dirigente,A
33,La comunicazione di avvio del procedimento è prevista per garantire:,La partecipazione degli interessati,L’efficacia del provvedimento,La pubblicità legale,A
34,Il responsabile del procedimento è:,Colui che cura l’istruttoria e adotta il provvedimento finale,Il dirigente dell’ufficio legale,Un soggetto esterno,A
35,Il silenzio-assenso si verifica quando:,L’amministrazione non risponde entro i termini previsti,L’amministrazione esprime parere negativo,Si convoca una conferenza di servizi,A
36,Il diritto di partecipazione al procedimento spetta:,i soggetti direttamente interessati dall’atto,Ai soli dipendenti pubblici,Ai responsabili anticorruzione,A
37,Il preavviso di rigetto serve a:,Consentire all’interessato di presentare osservazioni prima del provvedimento negativo,Comunicare la decisione all’autorità gerarchica,Attivare il giudizio ordinario,A
38,La conferenza di servizi è uno strumento per:,Coordinare le diverse amministrazioni coinvolte,Attribuire incarichi interni,Valutare l’impatto ambientale,A
39,Il provvedimento finale deve essere:,Notificato agli interessati,Solo pubblicato in albo,Registrato in segreteria,A
40,La validità del provvedimento amministrativo dipende:,Dalla legittimità e dalla competenza dell’organo che lo emette,Dalla durata dell’istruttoria,Dal consenso dell’interessato,A
41,I provvedimenti amministrativi sono atti dotati:,Di efficacia normativa,"Di efficacia esterna, tipici e nominati, destinati a modificare situazioni giuridiche in modo autoritativo","Di efficacia interna, atipici e destinati a modificare situazioni giuridiche in modo non autoritativo",A
42,Il provvedimento amministrativo:,Contiene norme generali e astratte,Costituisce una fonte del diritto,Dispone nei confronti di uno o più soggetti determinati o determinabili,A
43,L’esecutività del provvedimento amministrativo:,È la capacità del provvedimento di produrre immediatamente effetti sul destinatario,È la possibilità giuridica e di fatto di eseguire un provvedimento,"È l’idoneità del provvedimento ad essere coattivamente eseguito dalla PA, senza dover ricorrere ad un giudice",A
44,L’atto amministrativo annullabile:,È immediatamente efficace e può essere caducato solo a seguito di tempestiva impugnazione giudiziale,È insuscettibile di produrre effetti,Non può essere sanato o convalidato,A
45,Il provvedimento amministrativo privo di elementi essenziali è:,Nullo,Irregolare,Annullabile,A
46,L’eccesso di potere:,È un vizio di merito dell’atto amministrativo,È un vizio di legittimità dell’atto amministrativo,È un vizio di legittimità dell’atto amministrativo per violazione di legge,A
47,Il ricorso gerarchico è un ricorso:,In regime di autotutela,Giurisdizionale,Amministrativo,A
48,Il ricorso straordinario al Presidente della Repubblica è:,Esperibile dopo la pronuncia del GA,Esperibile nei casi in cui si ritiene il provvedimento impugnato viziato per motivi di merito,Alternativo al ricorso davanti al GA,A
49,Di norma ci si rivolge al GA nel caso di lesione:,Di un interesse legittimo,Di un diritto assoluto,Di un diritto soggettivo,A
50,Nel nostro ordinamento giuridico è giudice amministrativo di primo grado il:,Consiglio di Stato,Giudice di Pace,TAR,A
51,L’attività della PA:,"Può essere discrezionale o vincolata, a seconda dei casi",È sempre vincolata,È sempre discrezionale,A
52,"La discrezionalità amministrativa, ossia la libera scelta dell’amministrazione:",Implica l’individuazione da parte del privato del criterio che la PA dovrà seguire nell’effettuare una scelta,"Implica l’individuazione di un criterio dato dalla comparazione di più interessi secondari, pubblici e privati, in ordine ad un interesse pubblico da perseguire",Non richiede da parte della PA l’individuazione di un criterio da seguire nella scelta,A
53,"Quando la PA pone in essere valutazioni discrezionali, nell’operare il sacrificio degli interessi secondari occorre vengano rispettati i seguenti canoni di:","Efficienza, imparzialità e buona amministrazione","Rapidità, segretezza e buona amministrazione","Efficienza, tassatività e parzialità",A
54,Il potere discrezionale della P.A. può intervenire sui seguenti aspetti:,"Chi, come, dove, quando","Chi, cosa, come, dove","Se, cosa, come, quando",A
55,La violazione dei limiti all’esercizio del potere discrezionale rende l’atto:,Inopportuno,Illegittimo,Inqualificabile,A
56,La discrezionalità tecnica indica la facoltà della scelta della P.A.:,Tra più soluzioni normative prospettabili in relazione all’adozione di un determinato provvedimento,Tra più soluzioni politiche prospettabili in relazione all’adozione di un determinato provvedimento,Tra più soluzioni tecniche prospettabili in relazione all’adozione di un determinato provvedimento,A
57,Viene accertato un illecito: la PA adotta automaticamente un ordine di demolizione. L’attività svolta è:,Discrezionale,Libera,Vincolata,A
58,Il procedimento amministrativo è una sequenza:,"Di atti, attività e comportamenti",Di prassi e comportamenti concludenti,Esclusivamente di atti e attività,A
59,La fase istruttoria nel procedimento amministrativo:,Consiste nell’insieme di attività poste in essere dall’autorità procedente al fine di acquisire gli elementi necessari per la decisione,"È l’insieme delle operazioni successive all’atto finale, necessarie affinché questo divenga efficace",Consiste nell’adozione dell’atto finale,A
60,"In mancanza di diverse disposizioni di legge o di regolamento, il termine per la conclusione del procedimento amministrativo è:",180 giorni,90 giorni,30 giorni,A
61,Il fondamento giuridico del diritto di accesso va individuato nel principio di:,Differenziazione,Trasparenza,Decentramento,A
62,Per “diritto di accesso” si intende il diritto degli interessati di:,Prendere visione ed estrarre copia dei documenti amministrativi,Esperire un rimedio amministrativo,Ricorrere in giudizio,A
63,Al fine di esercitare il diritto di accesso agli atti occorre la titolarità di un interesse:,"Eventuale, indiretto, astratto",Futuro e incerto,"Attuale, diretto, concreto",A
64,Ai sensi della legge 241/90 oggetto del diritto di accesso sono:,Solo gli atti finali del procedimento amministrativo,Anche atti non più o non ancora esistenti,Anche gli atti interni al procedimento amministrativo,A
65,Sono esclusi dal diritto di accesso:,Tutti i tipi di provvedimenti amministrativi,Gli atti detenuti da una PA e concernenti attività di pubblico interesse,Di norma i documenti coperti da segreto di Stato,A
66,"L’interessato, al fine di esaminare o estrarre copia dei documenti amministrativi:",Non deve formulare alcuna richiesta,Deve formulare una richiesta motivata,Deve formulare una richiesta generica,A
67,"Nel caso di accesso a dati sensibili e giudiziari, il diritto di accesso è consentito:",Mai,Sempre,In base alla valutazione relativa all’indispensabilità dell’accesso ai fini della tutela della posizione del richiedente,A
68,Per dati sensibilissimi si intendono i:,Dati di natura giudiziaria,Dati anagrafici,Dati idonei a rivelare lo stato di salute o la vita sessuale,A
69,"Decorsi 30 giorni dalla richiesta di accesso, questa si deve intendere:",ncora in fase di valutazione,Accolta,Respinta,A
70,LA PA può differire l’esercizio del diritto di accesso:,No,"Sì, motivando il differimento","Sì, senza fornire spiegazioni",A
71,L’illecito penale è:,Un fatto naturale contrario all’ordinamento giuridico,Un fatto umano contrario all’ordinamento giuridico,Un fatto umano contrario all’ordinamento morale,A
72,Il principio di legalità in diritto penale prevede che:,La norma deve prevedere solo il precetto,La norma deve prevedere sia la sanzione che il precetto,La norma deve stabilire solo il tipo di sanzione,A
73,Per il principio di tassatività in diritto penale:,La norma può essere redatta anche non in maniera chiara purché comprensibile,La norma deve essere stabilita con legge statale,La norma deve essere redatta in maniera chiara e non deve dare adito a dubbi,A
74,Il principio di tipicità in diritto penale richiede che:,La fattispecie concreta coincida perfettamente con la fattispecie legalizzata,La norma non sia retroattiva,La norma contenga solo elementi normativi,A
75,Per il principio di offensività in diritto penale:,"Se l'azione umana non realizza un evento di danno, non è punibile","L'azione umana può essere punita pur se rimane a livello intenzionale, senza realizzare un danno o un pericolo",L'azione umana deve realizzare una lesione del bene giuridico tutelato o quanto meno metterlo in pericolo,A
76,L’ammenda è:,Una sanzione penale pecuniaria,Un risarcimento del danno civile,Un ammonimento,A
77,Il reato si distingue in:,"Delitti, contravvenzioni ed illeciti amministrativi","Delitti, illeciti amministrativi e multe",Delitti e contravvenzioni,A
79,L'illecito disciplinare è:,Un illecito amministrativo,Un illecito civile,Un illecito penale,A
80,L'oblazione estingue:,L’illecito amministrativo,Solo la sanzione accessoria,La contravvenzione,A
81,Un dato personale è:,Informazioni che identificano o rendono identificabile una persona fisica e che possono fornire dettagli sulle sue caratteristiche,Un dato che può ledere un diritto di un soggetto,L’anagrafica di un soggetto,A
82,Il Titolare del trattamento è chiamato a:,Stabilire finalità e mezzi del trattamento,Far rispettare quanto previsto dalla Direttiva 680,Far rispettare quanto previsto dalla Direttiva 680 e comprovare tale rispetto,A
83,Il Registro dei trattamenti:,Contiene una descrizione delle misure di sicurezza implementate per ogni specifico trattamento,È opzionale,Nessuna delle precedenti risposte,A
84,La Data Protection Impact Analysis (DPIA):,Viene svolta dall'Autorità garante per la protezione dei dati personali,Va eseguita solo in casi particolari,Va sempre eseguita,A
85,La sicurezza dei trattamenti:,Deve essere adeguata alla finalità dei trattamenti stessi,Deve tener conto dei rischi per le persone fisiche,Entrambe le precedenti risposte,A
86,I log relativi agli accessi:,Possono essere messi a disposizione dell’Autorità garante per la protezione dei dati personali,Non possono contenere informazioni sul trattamento eseguito,Non possono contenere informazioni sull’operatore di polizia che ha effettuato l’accesso,A
87,Un’eventuale violazione di dati personali:,Può essere tenuta segreta per motivi di sicurezza,Non va necessariamente comunicata all’Autorità garante per la protezione dei dati personali,Non va necessariamente notificata agli interessati,A
88,La garanzia di continuità dei sistemi in caso di malfunzionamenti:,Rappresenta una scelta strategica demandata all’Autorità garante per la protezione dei dati personali,È uno degli obiettivi di sicurezza definito dalla norma,Non rappresenta un aspetto di interesse nella Direttiva 680,A
89,Il Responsabile della protezione dei dati:,Deve avere assicurata l’indipendenza nelle proprie determinazioni dalle scelte strategiche del titolare,Deve rendere conto al titolare del trattamento,È un ruolo che può essere ricoperto dallo stesso soggetto che ricopre il ruolo di titolare del trattamento,A
90,Il trasferimento di dati di polizia ad altri Paesi membri:,Non è mai permesso,È sempre permesso,È permesso solo sotto opportune condizioni,A
91,La nozione di corruzione di tipo amministrativo:,È diversa da quella penale in quanto più ampia,Coincide con quella di tipo penale,È diversa da quella penale in quanto più restrittiva,A
92,"Nel Ranking relativo all’indice di percezione della corruzione stilato ogni anno da Trasparency International, l’Italia negli ultimi cinque anni:","Ha perso delle posizioni, peggiorando il suo ranking precedente","Ha guadagnato delle posizioni, migliorando il suo ranking precedente",Ha mantenuto la medesima posizione,A
93,Con la legge n. 190/2012 il contrasto alla corruzione viene perseguito attraverso una strategia: le qualifiche di:,Sia repressiva che preventiva,Repressiva,Preventiva,A
94,L’inasprimento delle sanzioni penali costituisce una misura di contrasto alla corruzione di tipo:,Repressivo,Preventivo,Educativo,A
95,Il Piano Nazionale Anticorruzione è predisposto da:,Prefetto,Responsabile della Prevenzione della Corruzione,Autorità Nazionale Anticorruzione,A
96,Il Piano Triennale per la Prevenzione della Corruzione (PTPC) è approvato da:,Prefetto,Responsabile della Prevenzione della Corruzione,Organo di indirizzo politico dell’Amministrazione,A
97,Dove devono essere indicate le misure di prevenzione della corruzione che ciascuna Amministrazione intende adottare?,Nel Piano Nazionale Anticorruzione,Nel Piano Triennale per la Prevenzione della Corruzione,In un apposito Regolamento,A
98,La mappatura dei processi interni all’Amministrazione costituisce un adempimento:,Che segue l’analisi dei rischi “corruttivi”,Che segue la ponderazione dei rischi corruttivi,Che precede l’analisi dei rischi “corruttivi”,A
99,Quali tra le seguenti non rientra tra le quattro aree a rischio di corruzione comuni e obbligatorie per tutte le Amministrazioni Pubbliche individuate nel primo Piano Nazionale Anticorruzione?,Gestione degli archivi,"Affidamento di lavori, servizi e forniture",Acquisizione e progressione del personale,A
100,Quali tra questi organismi esercita la vigilanza e il controllo sull’attuazione efficace delle misure di prevenzione della corruzione e sul rispetto delle regole sulla trasparenza?,Il CSM,L’ANAC,L’ENAV,A
105,Il “whistleblowing” è:,Un sistema di comunicazione tra i Responsabili della Prevenzione della Corruzione,Un sistema informatico per la rilevazione dei reati di corruzione,Un istituto di prevenzione della corruzione mutuato dall’esperienza dei Paesi anglosassoni,A
116,Che tipo di variazione di pena causano le circostanze ad effetto speciale?,superiore ad un terzo,di un terzo,di un quarto,A
117,Qual è il regime di imputazione delle circostanze attenuanti?,oggettivo,soggettivo,misto,A
118,Che tipo di vincolo lega i concorrenti nel concorso di persone?,occasionale,stabile,costante,A
119,Con quante condotte si realizza il concorso formale di reati?,tre condotte,due condotte,con una sola condotta,A
120,"Sul piano sanzionatorio, quale regola si applica al reato continuato?",cumulo materiale,cumulo giuridico,entrambi,A
121,"Nelle ipotesi di aberratio ictus, il titolo di imputazione soggettiva del",preterintenzionale,colposo,doloso,A
122,"Nell’uso legittimo delle armi, la proporzione è un requisito:",implicitamente deducibile dalla disposizione,Non richiesto dalla fattispecie,ritenuto necessario da parte della dottrina minoritaria,A
123,È una scriminante propria:,Uso legittimo delle armi,Legittima difesa,Adempimento di un dovere,A
124,L’errore su legge extrapenale:,Ha rilevanza laddove si traduca in un errore sul fatto tipico,Ha rilevanza in quanto la pena è diminuita di un terzo,Non ha alcuna rilevanza in quanto è un errore sul precetto,A
125,Quale elemento fanno venire meno le cause di giustificazione?,Colpevolezza,Tipicità,Antigiuridicità,A
126,La scriminante del consenso dell’avente diritto può applicarsi rispetto,Diritti indisponibili,Diritti disponibili,Diritti che coinvolgano interessi statali,A
127,"L’agente provocatore, secondo la giurisprudenza, non risponde in",Manca il dolo di partecipazione nel reato,Il fatto non è tipico,Scriminato ai sensi dell’art. 51 c.p.,A
128,Nella legittima difesa è richiesto che il pericolo sia:,Dimostrato,Probabile,Attuale,A
129,In caso di esecuzione di un ordine del superiore manifestamente,Risponde del reato solo se è previsto dalla legge come delitto,Non risponde del reato commesso se ha notiziato i suoi superiori per iscritto,Risponde del reato commesso,A
130,Si può fare ricorso allo stato di necessità in caso di:,Pericolo attuale di grave danno alla persona,Pericolo attuale di un offesa ingiusta,"Pericolo attuale di un offesa a beni personali o patrimoniali, se di elevato valore",A
131,L’uso legittimo delle armi rappresenta:,Una causa soggettiva di esclusione del reato,Una causa di giustificazione o scriminante,Una fattispecie di reato,A
141,Sono pubblici ufficiali,"Coloro i quali esercitano una pubblica funzione legislativa, giudiziaria o amministrativa.",Tutti gli appartenenti alla P.A.,Solamente coloro che esercitano una pubblica funzione amministrativa,A
142,Un senatore della Repubblica,è incaricato di pubblico servizio,non è né Pubblico Ufficiale né Incaricato di Pubblico Servizio,è pubblico ufficiale nell’esercizio della sua funzione.,A
143,L’elemento soggettivo nel peculato è previsto:,indifferentemente sia nella forma dolosa che in quella colposa,solo nella forma dolosa.,solo nella forma colposa.,A
144,L’usciere di un ospedale pubblico è:,pubblico ufficiale,esercente un servizio di pubblica necessità,non riveste alcuna delle predette qualifiche,A
145,Un Agente della Polizia di Stato in servizio di o.p. è:,pubblico ufficiale,ufficiale di pubblica sicurezza,esercente un servizio di pubblica necessità,A
146,"Il funzionario dell’Ufficio Urbanistico che, nottetempo, accede all’Ufficio Cassa e lo svaligia compie:",peculato d’uso,furto,peculato,A
147,L’agente di Polizia che usa episodicamente l’auto di servizio per fini privati commette:,peculato d’uso,appropriazione indebita,danneggiamento,A
148,Il peculato è un:,reato comune,reato contro il patrimonio,reato proprio,A
149,L’errore nel peculato mediante profitto dell’errore altrui deve:,essere spontaneo nella vittima,essere provocato dal reo e determinare un danno di rilevante gravità,essere provocato intenzionalmente dal reo,A
150,Il tentativo di peculato è:,Ammissibile,Inammissibile,Previsto da specifica disposizione speciale,A
